tag_personaje,alias_personaje,popularidad,tag_franquicia
hakurei_reimu,reimu hakurei|hakurei reimu|hakurei|reimu,101007,touhou
kirisame_marisa,marisa kirisame|kirisame marisa|kirisame|marisa,87516,touhou
flandre_scarlet,flandre scarlet|scarlet flandre|scarlet|flandre,63077,touhou
remilia_scarlet,scarlet remilia|remilia scarlet|scarlet|remilia,62475,touhou
izayoi_sakuya,izayoi sakuya|sakuya izayoi|izayoi|sakuya,53299,touhou
konpaku_youmu,youmu konpaku|konpaku youmu|konpaku|youmu,40944,touhou
komeiji_koishi,komeiji koishi|koishi komeiji|komeiji|koishi,45280,touhou
kochiya_sanae,kochiya sanae|sanae kochiya|kochiya|sanae,41134,touhou
cirno,cirno,40877,touhou
patchouli_knowledge,patchouli knowledge|knowledge patchouli|knowledge|patchouli,38868,touhou
alice_margatroid,alice margatroid|margatroid alice|margatroid|alice,39961,touhou
yakumo_yukari,yakumo yukari|yukari yakumo|yakumo|yukari,38535,touhou
reisen_udongein_inaba,reisen udongein inaba|reisen|inaba,31248,touhou
fujiwara_no_mokou,fujiwara no mokou|fujiwara|mokou,30682,touhou
shameimaru_aya,aya shameimaru|shameimaru aya|shameimaru|aya,34317,touhou
hong_meiling,meiling hong|hong meiling|meiling|hong,28200,touhou
saigyouji_yuyuko,saigyouji yuyuko|yuyuko saigyouji|saigyouji|yuyuko,28069,touhou
komeiji_satori,satori komeiji|komeiji satori|komeiji|satori,31027,touhou
inubashiri_momiji,momiji inubashiri|inubashiri momiji|inubashiri|momiji,26136,touhou
kaenbyou_rin,kaenbyou rin|rin kaenbyou|kaenbyou|rin,22803,touhou
konpaku_youmu_(ghost),youmu konpaku|konpaku youmu|konpaku|youmu,22894,touhou
rumia,rumia,22395,touhou
moriya_suwako,suwako moriya|moriya suwako|suwako|moriya,22053,touhou
kawashiro_nitori,kawashiro nitori|nitori kawashiro|kawashiro|nitori,18700,touhou
yakumo_ran,ran yakumo|yakumo ran|yakumo|ran,22818,touhou
reiuji_utsuho,reiuji utsuho|utsuho reiuji|utsuho|reiuji,20666,touhou
chen,chen,20625,touhou
kazami_yuuka,yuuka kazami|kazami yuuka|kazami|yuuka,20318,touhou
hinanawi_tenshi,tenshi hinanawi|hinanawi tenshi|hinanawi|tenshi,17902,touhou
kamishirasawa_keine,keine kamishirasawa|kamishirasawa keine|kamishirasawa|keine,17896,touhou
nazrin,nazrin,16152,touhou
tatara_kogasa,kogasa tatara|tatara kogasa|kogasa|tatara,18749,touhou
koakuma,koakuma,16221,touhou
mizuhashi_parsee,mizuhashi parsee|parsee mizuhashi|mizuhashi|parsee,13258,touhou
mystia_lorelei,mystia lorelei|lorelei mystia|lorelei|mystia,16267,touhou
inaba_tewi,tewi inaba|inaba tewi|inaba|tewi,15751,touhou
usami_renko,renko usami|usami renko|renko|usami,15520,touhou
ibuki_suika,ibuki suika|suika ibuki|suika|ibuki,16031,touhou
maribel_hearn,maribel hearn|hearn maribel|maribel|hearn,15145,touhou
houraisan_kaguya,houraisan kaguya|kaguya houraisan|houraisan|kaguya,17989,touhou
yasaka_kanako,yasaka kanako|kanako yasaka|kanako|yasaka,13206,touhou
shiki_eiki,eiki shiki|shiki eiki|shiki|eiki,10549,touhou
houjuu_nue,houjuu nue|nue houjuu|houjuu|nue,14117,touhou
daiyousei,daiyousei,11400,touhou
yagokoro_eirin,yagokoro eirin|eirin yagokoro|yagokoro|eirin,13361,touhou
wriggle_nightbug,nightbug wriggle|wriggle nightbug|nightbug|wriggle,10389,touhou
shanghai_doll,shanghai doll|doll shanghai|shanghai|doll,10342,touhou
hoshiguma_yuugi,yuugi hoshiguma|hoshiguma yuugi|hoshiguma|yuugi,10661,touhou
mononobe_no_futo,mononobe no futo|mononobe|futo,10576,touhou
onozuka_komachi,komachi onozuka|onozuka komachi|komachi|onozuka,10332,touhou
admiral_(kancolle),admiral,39044,kantai_collection
kaga_(kancolle),kaga,22200,kantai_collection
shimakaze_(kancolle),shimakaze,20730,kantai_collection
shigure_(kancolle),shigure,17803,kantai_collection
hibiki_(kancolle),hibiki,18062,kantai_collection
kongou_(kancolle),kongou,14057,kantai_collection
inazuma_(kancolle),inazuma,13556,kantai_collection
akagi_(kancolle),akagi,13005,kantai_collection
yuudachi_(kancolle),yuudachi,12170,kantai_collection
shigure_kai_ni_(kancolle),shigure kai ni|shigure|ni,11606,kantai_collection
fubuki_(kancolle),fubuki,12939,kantai_collection
hamakaze_(kancolle),hamakaze,10911,kantai_collection
ikazuchi_(kancolle),ikazuchi,11441,kantai_collection
tenryuu_(kancolle),tenryuu,12010,kantai_collection
zuikaku_(kancolle),zuikaku,10768,kantai_collection
haruna_(kancolle),haruna,10477,kantai_collection
nagato_(kancolle),nagato,9826,kantai_collection
yuudachi_kai_ni_(kancolle),yuudachi kai ni|yuudachi|ni,9943,kantai_collection
ryuujou_(kancolle),ryuujou,8946,kantai_collection
akatsuki_(kancolle),akatsuki,10685,kantai_collection
kashima_(kancolle),kashima,10026,kantai_collection
suzuya_(kancolle),suzuya,9432,kantai_collection
murakumo_(kancolle),murakumo,7774,kantai_collection
houshou_(kancolle),houshou,8327,kantai_collection
northern_ocean_princess,northern ocean princess|princess|northern,6763,kantai_collection
akebono_(kancolle),akebono,6982,kantai_collection
asashio_(kancolle),asashio,6277,kantai_collection
takao_(kancolle),takao,5640,kantai_collection
ushio_(kancolle),ushio,7443,kantai_collection
atago_(kancolle),atago,7182,kantai_collection
amatsukaze_(kancolle),amatsukaze,7743,kantai_collection
prinz_eugen_(kancolle),prinz eugen|eugen prinz|eugen|prinz,6036,kantai_collection
kitakami_(kancolle),kitakami,6551,kantai_collection
mutsu_(kancolle),mutsu,5897,kantai_collection
yamato_(kancolle),yamato,7576,kantai_collection
yukikaze_(kancolle),yukikaze,7451,kantai_collection
female_admiral_(kancolle),female admiral|admiral female|admiral|female,5683,kantai_collection
verniy_(kancolle),verniy,4801,kantai_collection
rensouhou-chan,rensouhou-chan,6341,kantai_collection
bismarck_(kancolle),bismarck,5504,kantai_collection
shoukaku_(kancolle),shoukaku,6951,kantai_collection
ooyodo_(kancolle),ooyodo,6741,kantai_collection
yuubari_(kancolle),yuubari,4523,kantai_collection
shiranui_(kancolle),shiranui,5392,kantai_collection
souryuu_(kancolle),souryuu,5239,kantai_collection
kasumi_(kancolle),kasumi,5225,kantai_collection
ooi_(kancolle),ooi,5620,kantai_collection
sendai_(kancolle),sendai,5608,kantai_collection
akashi_(kancolle),akashi,5444,kantai_collection
iowa_(kancolle),iowa,5218,kantai_collection
sensei_(blue_archive),sensei,39491,blue_archive
doodle_sensei_(blue_archive),doodle sensei|sensei doodle|doodle|sensei,22449,blue_archive
yuuka_(blue_archive),yuuka,18965,blue_archive
hina_(blue_archive),hina,19615,blue_archive
mika_(blue_archive),mika,16277,blue_archive
asuna_(blue_archive),asuna,18517,blue_archive
hoshino_(blue_archive),hoshino,15193,blue_archive
rio_(blue_archive),rio,14875,blue_archive
kayoko_(blue_archive),kayoko,11620,blue_archive
kisaki_(blue_archive),kisaki,13114,blue_archive
