tag_franquicia,alias_franquicia,popularidad
touhou,touhou|2hu|touhou project|cookie|reitaisai|lostword|eosd,1097975
kantai_collection,kancolle|kantai collection,544534
blue_archive,blue archive|ba,455933
pokemon,pokemon|pkmn|pokemon sv|pokemon swsh|pokemon sm|pokemon tcg|pokemon horizons|pokemon xy|pokemon go|lets go,412172
fate_(series),fate|fgo|fate stay night|fate extra|fate zero|strange fake|samurai remnant|hollow ataraxia|prototype|koha-ace|heavens feel|extella|case files,408929
hololive,hololive|holo|holoen|hololive english|holostars|holostars english,329501
genshin_impact,genshin|genshin impact|gi,315534
idolmaster,imas|idolmaster|cinderella girls|shiny colors|million live|gakumas|side-m|dearly stars,286766
umamusume,umamusume|uma musume|cinderella gray,235322
arknights,arknights|ak|endfield|ambience synesthesia,230426
vocaloid,vocaloid|project diva|project voltage|rabbit hole|magical mirai|mesmerizer|vsinger,209843
honkai_(series),honkai|hsr|star rail|hi3|honkai impact|honkai gakuen,190134
azur_lane,azur lane|al,157703
love_live!,love live|ll|nijigasaki|hasu no sora|sunshine|school idol festival|sif|sifas|all stars,129062
